sinco,isco,match
2223,2100,100.0
2262,2100,100.0
2321,2300,100.0
2429,2200,100.0
2436,2200,100.0
2511,3300,100.0
2512,4300,60.0
2514,3300,100.0
2612,3100,100.0
2614,3100,66.7
2636,7300,66.7
2643,3100,100.0
2812,3200,100.0
3111,3300,75.0
3115,4400,66.7
3121,4200,66.7
3122,4200,66.7
4111,5200,100.0
4211,5200,100.0
4222,3300,66.7
5221,5300,100.0
5222,5300,66.7
6111,6100,66.7
6112,6100,66.7
6113,6100,75.0
6115,6100,75.0
6211,6200,66.7
7133,7100,100.0
7211,7200,100.0
7311,7500,75.0
7342,7500,66.7
8101,7500,66.7
8131,8100,66.7
8132,8100,66.7
8133,8100,100.0
8143,8100,66.7
8151,8100,100.0
8152,8100,100.0
8153,8100,100.0
8154,8100,100.0
8161,8100,100.0
8162,8100,100.0
8163,8100,100.0
8171,8100,100.0
8342,8300,100.0
1122,1000,100.0
1212,1000,100.0
1312,3000,50.0
1423,1000,100.0
1512,1000,100.0
1524,1000,50.0
1721,3000,50.0
1723,1000,100.0
2132,2000,100.0
2133,2000,100.0
2162,2000,100.0
2175,2000,50.0
2531,3000,75.0
2552,3000,50.0
2611,3000,66.7
2625,3000,50.0
2711,2000,50.0
2715,5000,50.0
2821,5000,50.0
3112,4000,100.0
3213,4000,100.0
3232,4000,50.0
4212,9000,100.0
4221,3000,40.0
5112,5000,100.0
5211,3000,50.0
5313,5000,100.0
5411,0000,100.0
5413,0000,100.0
6121,6000,100.0
6122,6000,100.0
6123,6000,100.0
6124,6000,100.0
6125,6000,100.0
6131,6000,100.0
6231,6000,100.0
7213,7000,100.0
7613,7000,100.0
