countrycode,period,group,emp,emp_ref,index,n
IND,2023Q3,1.0,119796191.84999998,102447374.02249998,116.93437044437056,
IND,2023Q3,2.0,197763730.795,170684993.72125,115.86474386727457,
IND,2023Q3,3.0,58344113.545,48988064.60374999,119.09862946603081,
IND,2023Q3,4.0,54083689.615,55354531.7675,97.7041768543219,
IND,2023Q3,5.0,63680316.01,54270015.3425,117.33977889652556,
IND,2023Q4,1.0,110530303.16499998,102447374.02249998,107.88983536144596,
IND,2023Q4,2.0,197263769.36499998,170684993.72125,115.57182917155356,
IND,2023Q4,3.0,57327184.62999999,48988064.60374999,117.0227586937812,
IND,2023Q4,4.0,52234795.254999995,55354531.7675,94.3640811097391,
IND,2023Q4,5.0,62052402.66499999,54270015.3425,114.34012368226739,
IND,2024Q1,1.0,116424548.67499997,102447374.02249998,113.64327273965094,
IND,2024Q1,2.0,192626118.49499983,170684993.72125,112.85474738897224,
IND,2024Q1,3.0,61522172.41,48988064.60374999,125.58604408570682,
IND,2024Q1,4.0,55227579.43,55354531.7675,99.7706559274438,
IND,2024Q1,5.0,63794116.815,54270015.3425,117.54947259991185,
IND,2024Q2,1.0,113901460.935,102447374.02249998,111.18045925704686,
IND,2024Q2,2.0,182835011.26500002,170684993.72125,107.11838649599888,
IND,2024Q2,3.0,61061462.76,48988064.60374999,124.64559123514711,
IND,2024Q2,4.0,53592400.855,55354531.7675,96.81664561828235,
IND,2024Q2,5.0,60043827.13,54270015.3425,110.63904579916048,
IND,2024Q3,1.0,114992372.01000002,102447374.02249998,112.24530946468657,
IND,2024Q3,2.0,191138887.17499995,170684993.72125,111.98341635536732,
IND,2024Q3,3.0,59053054.635000005,48988064.60374999,120.54580051827472,
IND,2024Q3,4.0,55589840.99000001,55354531.7675,100.42509477541668,
IND,2024Q3,5.0,63412198.53500002,54270015.3425,116.84573541172482,
IND,2024Q4,1.0,114001007.6,102447374.02249998,111.27762784330866,
IND,2024Q4,2.0,192725204.80999997,170684993.72125,112.91279954273215,
IND,2024Q4,3.0,59025364.215,48988064.60374999,120.48927568875963,
IND,2024Q4,4.0,57944482.92,55354531.7675,104.67884212873177,
IND,2024Q4,5.0,62259080.91999999,54270015.3425,114.72095691714976,
IND,2025Q1,1.0,121641585.27999991,102447374.02249998,118.73567911392674,
IND,2025Q1,2.0,181254424.3599994,170684993.72125,106.19236079769883,
IND,2025Q1,3.0,62913705.84,48988064.60374999,128.4266001298284,
IND,2025Q1,4.0,53128896.52000001,55354531.7675,95.97930796913232,
IND,2025Q1,5.0,65303085.679999955,54270015.3425,120.32995617906104,
IND,2025Q2,1.0,113733885.17275421,102447374.02249998,111.0168867264235,
IND,2025Q2,2.0,173272230.5243355,170684993.72125,101.51579629039375,
IND,2025Q2,3.0,67224399.52171071,48988064.60374999,137.2260775465801,
IND,2025Q2,4.0,52983440.3809211,55354531.7675,95.71653609764428,
IND,2025Q2,5.0,63769263.121694334,54270015.3425,117.50367623676581,
IND,2025Q3,1.0,113463763.60762742,102447374.02249998,110.753218118317,
IND,2025Q3,2.0,180510975.28361616,170684993.72125,105.7567928780038,
IND,2025Q3,3.0,66468132.56571611,48988064.60374999,135.6822995628777,
IND,2025Q3,4.0,51690648.931184545,55354531.7675,93.38106073825269,
IND,2025Q3,5.0,61674846.20533654,54270015.3425,113.64442375058195,
IND,2025Q4,1.0,111761269.94669978,102447374.02249998,109.09139547310822,
IND,2025Q4,2.0,193927148.4621558,170684993.72125,113.61698778210295,
IND,2025Q4,3.0,68893434.3409641,48988064.60374999,140.6331009363664,
IND,2025Q4,4.0,50294233.594621405,55354531.7675,90.85838501148767,
IND,2025Q4,5.0,63063223.08582723,54270015.3425,116.20269993998157,
MEX,2021Q1,1.0,8195559.0,8611116.75,95.17417122465562,
MEX,2021Q1,2.0,12633766.0,13766746.0,91.77016849152298,
MEX,2021Q1,3.0,6515827.0,7118338.0,91.53579107932217,
MEX,2021Q1,4.0,6564342.0,7134946.5,92.00268004812649,
MEX,2021Q1,5.0,13974328.0,15297674.0,91.34936461582329,
MEX,2021Q2,1.0,8537862.0,8611116.75,99.1493002344905,
MEX,2021Q2,2.0,13004224.0,13766746.0,94.46113119251274,
MEX,2021Q2,3.0,6879281.0,7118338.0,96.64167394130484,
MEX,2021Q2,4.0,6795194.0,7134946.5,95.23819134453215,
MEX,2021Q2,5.0,14837770.0,15297674.0,96.99363445710766,
MEX,2021Q3,1.0,8729499.0,8611116.75,101.3747607126567,
MEX,2021Q3,2.0,13379572.0,13766746.0,97.1876142699226,
MEX,2021Q3,3.0,6713827.0,7118338.0,94.31733924407635,
MEX,2021Q3,4.0,6909631.0,7134946.5,96.84208564142702,
MEX,2021Q3,5.0,14916066.0,15297674.0,97.50545082866846,
MEX,2021Q4,1.0,8676779.0,8611116.75,100.7625288555053,
MEX,2021Q4,2.0,13498409.0,13766746.0,98.05083205573779,
MEX,2021Q4,3.0,6932901.0,7118338.0,97.39493966147715,
MEX,2021Q4,4.0,7140733.0,7134946.5,100.0811008183453,
MEX,2021Q4,5.0,14982785.0,15297674.0,97.94158902850198,
MEX,2022Q1,1.0,8512880.0,8611116.75,98.85918687608086,
MEX,2022Q1,2.0,13307111.0,13766746.0,96.66126621352642,
MEX,2022Q1,3.0,6930650.0,7118338.0,97.3633171113819,
MEX,2022Q1,4.0,7065394.0,7134946.5,99.0251854025815,
MEX,2022Q1,5.0,14866547.0,15297674.0,97.18174802260788,
MEX,2022Q2,1.0,8640821.0,8611116.75,100.34495235475701,
MEX,2022Q2,2.0,13707603.0,13766746.0,99.57039230621383,
MEX,2022Q2,3.0,7210240.0,7118338.0,101.29105979513757,
MEX,2022Q2,4.0,7104178.0,7134946.5,99.5687634097887,
MEX,2022Q2,5.0,15323634.0,15297674.0,100.16969900129915,
MEX,2022Q3,1.0,8696731.0,8611116.75,100.99422934894014,
MEX,2022Q3,2.0,13862988.0,13766746.0,100.69909040233618,
MEX,2022Q3,3.0,7105935.0,7118338.0,99.82575988945734,
MEX,2022Q3,4.0,7035225.0,7134946.5,98.60235111783949,
MEX,2022Q3,5.0,15444607.0,15297674.0,100.9604924251883,
MEX,2022Q4,1.0,8594035.0,8611116.75,99.80163142022201,
MEX,2022Q4,2.0,14189282.0,13766746.0,103.06925107792357,
MEX,2022Q4,3.0,7226527.0,7118338.0,101.51986320402318,
MEX,2022Q4,4.0,7334989.0,7134946.5,102.8037000697903,
MEX,2022Q4,5.0,15555908.0,15297674.0,101.68806055090467,
MEX,2023Q1,1.0,8617662.0,8611116.75,100.07600930506487,
MEX,2023Q1,2.0,14061117.0,13766746.0,102.13827581332582,
MEX,2023Q1,3.0,7440503.0,7118338.0,104.5258457802931,
MEX,2023Q1,4.0,7300024.0,7134946.5,102.31364734129401,
MEX,2023Q1,5.0,15548869.0,15297674.0,101.64204701969724,
MEX,2023Q2,1.0,8472144.0,8611116.75,98.3861239600543,
MEX,2023Q2,2.0,14086641.0,13766746.0,102.3236791032536,
MEX,2023Q2,3.0,7435941.0,7118338.0,104.46175778671932,
MEX,2023Q2,4.0,7319947.0,7134946.5,102.59287858710644,
MEX,2023Q2,5.0,15742811.0,15297674.0,102.90983452778508,
MEX,2023Q3,1.0,8689660.0,8611116.75,100.9121145640024,
MEX,2023Q3,2.0,14182758.0,13766746.0,103.02186152050746,
MEX,2023Q3,3.0,7439558.0,7118338.0,104.51257020950678,
MEX,2023Q3,4.0,7500123.0,7134946.5,105.11813928808016,
MEX,2023Q3,5.0,15788707.0,15297674.0,103.20985399479686,
MEX,2023Q4,1.0,8707657.0,8611116.75,101.12111184649773,
MEX,2023Q4,2.0,13986960.0,13766746.0,101.59960821533281,
MEX,2023Q4,3.0,7490780.0,7118338.0,105.23214829079484,
MEX,2023Q4,4.0,7528964.0,7134946.5,105.52236095953909,
MEX,2023Q4,5.0,16042674.0,15297674.0,104.87002141632773,
MEX,2024Q1,1.0,8610017.0,8611116.75,99.98722871804056,
MEX,2024Q1,2.0,13803576.0,13766746.0,100.26752872465288,
MEX,2024Q1,3.0,7467622.0,7118338.0,104.90681954130304,
MEX,2024Q1,4.0,7613670.0,7134946.5,106.70955977035007,
MEX,2024Q1,5.0,16060688.0,15297674.0,104.9877778804804,
MEX,2024Q2,1.0,8634608.0,8611116.75,100.27280143426229,
MEX,2024Q2,2.0,13718035.0,13766746.0,99.64616910924339,
MEX,2024Q2,3.0,7463234.0,7118338.0,104.8451759385407,
MEX,2024Q2,4.0,7694596.0,7134946.5,107.8437799078101,
MEX,2024Q2,5.0,16119245.0,15297674.0,105.37056156380375,
MEX,2024Q3,1.0,8687714.0,8611116.75,100.88951586912349,
MEX,2024Q3,2.0,13878066.0,13766746.0,100.80861519490517,
MEX,2024Q3,3.0,7684448.0,7118338.0,107.95283955327774,
MEX,2024Q3,4.0,7646746.0,7134946.5,107.17313717769292,
MEX,2024Q3,5.0,15990375.0,15297674.0,104.52814591290154,
MEX,2024Q4,1.0,8463761.0,8611116.75,98.28877305606152,
MEX,2024Q4,2.0,13788677.0,13766746.0,100.15930416672175,
MEX,2024Q4,3.0,7682812.0,7118338.0,107.92985666036088,
MEX,2024Q4,4.0,7679139.0,7134946.5,107.62714198347528,
MEX,2024Q4,5.0,16229137.0,15297674.0,106.08891913894884,
MEX,2025Q1,1.0,8514926.0,8611116.75,98.8829468605219,
MEX,2025Q1,2.0,13451946.0,13766746.0,97.7133303687015,
MEX,2025Q1,3.0,7690621.0,7118338.0,108.03955923419203,
MEX,2025Q1,4.0,7574611.0,7134946.5,106.16212749457897,
MEX,2025Q1,5.0,16174382.0,15297674.0,105.73098890720249,
MEX,2025Q2,1.0,8481620.0,8611116.75,98.4961677589611,
MEX,2025Q2,2.0,13672362.0,13766746.0,99.31440588792732,
MEX,2025Q2,3.0,7680988.0,7118338.0,107.90423270150981,
MEX,2025Q2,4.0,7791054.0,7134946.5,109.19568913375875,
MEX,2025Q2,5.0,16263948.0,15297674.0,106.31647660945056,
MEX,2025Q3,1.0,8569828.0,8611116.75,99.52051805591883,
MEX,2025Q3,2.0,13916764.0,13766746.0,101.08971284862814,
MEX,2025Q3,3.0,7688529.0,7118338.0,108.01017035156241,
MEX,2025Q3,4.0,7515425.0,7134946.5,105.33260480649714,
MEX,2025Q3,5.0,16279852.0,15297674.0,106.42044012704153,
MEX,2025Q4,1.0,8511307.0,8611116.75,98.84091979126865,
MEX,2025Q4,2.0,13868338.0,13766746.0,100.7379521638592,
MEX,2025Q4,3.0,7896676.0,7118338.0,110.93426583564872,
MEX,2025Q4,4.0,7542500.0,7134946.5,105.71207506601486,
MEX,2025Q4,5.0,16459116.0,15297674.0,107.59227840781546,
MEX,2026Q1,1.0,8616828.0,8611116.75,100.06632415011677,
MEX,2026Q1,2.0,13574892.0,13766746.0,98.6063954401425,
MEX,2026Q1,3.0,7868233.0,7118338.0,110.53469222731486,
MEX,2026Q1,4.0,7567724.0,7134946.5,106.06560259421707,
MEX,2026Q1,5.0,16382467.0,15297674.0,107.09122837890257,
MEX,2026Q2,1.0,8600445.0,8611116.75,99.87607008115411,
MEX,2026Q2,2.0,13914209.0,13766746.0,101.07115363354565,
MEX,2026Q2,3.0,7933675.0,7118338.0,111.45403604043528,
MEX,2026Q2,4.0,7591087.0,7134946.5,106.39304723588327,
MEX,2026Q2,5.0,16287578.0,15297674.0,106.47094453705837,
NGA,2024Q1,1.0,5613867.718292236,,,
NGA,2024Q1,2.0,32790551.473495483,,,
NGA,2024Q1,3.0,11168143.681419373,,,
NGA,2024Q1,4.0,31144589.054855347,,,
NGA,2024Q1,5.0,5310883.80015564,,,
NGA,2024Q3,1.0,5870291.600662231,,,
